id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee
"15209-Imagine-Dr,-El-Paso,-TX-79938","15209 Imagine Dr, El Paso, TX 79938",15209 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803506,-106.192896,Single Family,3,2,1502,5227,2025,
"5165-Cruz-Tierra-St,-El-Paso,-TX-79938","5165 Cruz Tierra St, El Paso, TX 79938",5165 Cruz Tierra St,,El Paso,TX,48,79938,El Paso,141,31.863944,-106.167303,Single Family,3,2,1792,22651,2025,
"3629-Bob-Snead-St,-El-Paso,-TX-79938","3629 Bob Snead St, El Paso, TX 79938",3629 Bob Snead St,,El Paso,TX,48,79938,El Paso,141,31.807561,-106.211402,Single Family,5,3,2440,5227,2025,
"15116-Ambition-Ave,-El-Paso,-TX-79938","15116 Ambition Ave, El Paso, TX 79938",15116 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804025,-106.195548,Single Family,5,3,2440,5227,2025,
"15136-Ambition-Ave,-El-Paso,-TX-79938","15136 Ambition Ave, El Paso, TX 79938",15136 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804027,-106.19556,Single Family,5,3,2440,5663,2025,
"15164-Ambition-Ave,-El-Paso,-TX-79938","15164 Ambition Ave, El Paso, TX 79938",15164 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804027,-106.19556,Single Family,5,2,2440,5227,2025,
"15053-Ambition-Ave,-El-Paso,-TX-79938","15053 Ambition Ave, El Paso, TX 79938",15053 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.803889,-106.196741,Single Family,4,3,2350,5227,2025,
"3772-Surmise-St,-El-Paso,-TX-79938","3772 Surmise St, El Paso, TX 79938",3772 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.80497,-106.199058,Single Family,4,2.5,2000,6534,2025,
"3780-Surmise-St,-El-Paso,-TX-79938","3780 Surmise St, El Paso, TX 79938",3780 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.805188,-106.198886,Single Family,4,2.5,2000,6098,2025,
"3784-Surmise-St,-El-Paso,-TX-79938","3784 Surmise St, El Paso, TX 79938",3784 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.803642,-106.199082,Single Family,4,2,1887,5934,2025,
"3776-Surmise-St,-El-Paso,-TX-79938","3776 Surmise St, El Paso, TX 79938",3776 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.803647,-106.199101,Single Family,3,2,1575,6098,2025,
"15341-Idea-Ln,-El-Paso,-TX-79938","15341 Idea Ln, El Paso, TX 79938",15341 Idea Ln,,El Paso,TX,48,79938,El Paso,141,31.805278,-106.188824,Single Family,4,2,1433,5663,2025,
"15212-Hunch-Ct,-El-Paso,-TX-79938","15212 Hunch Ct, El Paso, TX 79938",15212 Hunch Ct,,El Paso,TX,48,79938,El Paso,141,31.800141,-106.192542,Single Family,3,2,1579,5439,2025,
"3757-Peak-Pl,-El-Paso,-TX-79938","3757 Peak Pl, El Paso, TX 79938",3757 Peak Pl,,El Paso,TX,48,79938,El Paso,141,31.804469,-106.196225,Single Family,3,2,1488,5227,2025,
"15356-Imagine-Dr,-El-Paso,-TX-79938","15356 Imagine Dr, El Paso, TX 79938",15356 Imagine Dr,,El Paso,TX,48,79938,El Paso,141,31.803069,-106.192902,Single Family,4,2,1480,5663,2025,
"15233-Ambition-Ave,-El-Paso,-TX-79938","15233 Ambition Ave, El Paso, TX 79938",15233 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804098,-106.191821,Single Family,4,2,1723,5247,2025,
"15237-Ambition-Ave,-El-Paso,-TX-79938","15237 Ambition Ave, El Paso, TX 79938",15237 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804168,-106.19155,Single Family,3,2,1835,5247,2025,
"15229-Ambition-Ave,-El-Paso,-TX-79938","15229 Ambition Ave, El Paso, TX 79938",15229 Ambition Ave,,El Paso,TX,48,79938,El Paso,141,31.804049,-106.191937,Single Family,4,2,1635,5247,2025,
"15285-Composition-Ave,-El-Paso,-TX-79938","15285 Composition Ave, El Paso, TX 79938",15285 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804813,-106.192639,Single Family,3,2,1593,5335,2025,
"15225-Composition-Ave,-El-Paso,-TX-79938","15225 Composition Ave, El Paso, TX 79938",15225 Composition Ave,,El Paso,TX,48,79938,El Paso,141,31.804831,-106.194924,Single Family,4,2,1841,5227,2025,
"15216-Hunch-Ct,-El-Paso,-TX-79938","15216 Hunch Ct, El Paso, TX 79938",15216 Hunch Ct,,El Paso,TX,48,79938,El Paso,141,31.800142,-106.19253,Single Family,4,1,1668,5227,2025,
"15264-Concentrate-Ave,-El-Paso,-TX-79938","15264 Concentrate Ave, El Paso, TX 79938",15264 Concentrate Ave,,El Paso,TX,48,79938,El Paso,141,31.805493,-106.192716,Single Family,4,2,1841,5335,2025,
"3757-Surmise-St,-El-Paso,-TX-79938","3757 Surmise St, El Paso, TX 79938",3757 Surmise St,,El Paso,TX,48,79938,El Paso,141,31.804333,-106.199169,Single Family,3,2,1723,5925,2025,
"15220-Ambition,-El-Paso,-TX-79938","15220 Ambition, El Paso, TX 79938",15220 Ambition,,El Paso,TX,48,79938,Hudspeth,229,31.803533,-105.937593,Single Family,3,2,1502,,2025,
"3636-Bob-Snead-Dr,-El-Paso,-TX-79938","3636 Bob Snead Dr, El Paso, TX 79938",3636 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800305,-106.190568,Single Family,3,2,1605,5227,2025,
"15224-Hunch-Ct,-El-Paso,-TX-79938","15224 Hunch Ct, El Paso, TX 79938",15224 Hunch Ct,,El Paso,TX,48,79938,El Paso,141,31.800099,-106.191919,Single Family,3,1,1520,5227,2025,
"3660-Bob-Snead-Dr,-El-Paso,-TX-79938","3660 Bob Snead Dr, El Paso, TX 79938",3660 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800454,-106.190456,Single Family,4,2,1785,5439,2025,
"3672-Bob-Snead-Dr,-El-Paso,-TX-79938","3672 Bob Snead Dr, El Paso, TX 79938",3672 Bob Snead Dr,,El Paso,TX,48,79938,El Paso,141,31.800829,-106.190424,Single Family,4,2,1785,4792,2025,
