id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,hoa/fee,features/floorCount,lastSaleDate,lastSalePrice,history/2025-06-30/event,history/2025-06-30/date
"871-Country-Club-Rd,-Unit-5A,-El-Paso,-TX-79932","871 Country Club Rd, Unit 5A, El Paso, TX 79932",871 Country Club Rd,Unit 5A,El Paso,TX,48,79932,El Paso,141,31.847002,-106.607246,Townhouse,4,5,2632,6500,2023,100,,,,,
"368-Milton-Rd,-Unit-C,-El-Paso,-TX-79915","368 Milton Rd, Unit C, El Paso, TX 79915",368 Milton Rd,Unit C,El Paso,TX,48,79915,El Paso,141,31.730366,-106.355972,Townhouse,2,1,900,,2022,,,,,,
"1060-Hoppas-St,-Unit-A-D,-El-Paso,-TX-79932","1060 Hoppas St, Unit A-D, El Paso, TX 79932",1060 Hoppas St,Unit A-D,El Paso,TX,48,79932,El Paso,141,31.887898,-106.628512,Townhouse,3,2.5,1346,,2023,,,,,,
"1074-Hoppas-Ct,-Unit-A-D,-El-Paso,-TX-79932","1074 Hoppas Ct, Unit A-D, El Paso, TX 79932",1074 Hoppas Ct,Unit A-D,El Paso,TX,48,79932,El Paso,141,31.887899,-106.62888,Townhouse,3,2.5,1378,,2023,,,,,,
"1074-Hoppas-Ct,-Unit-D,-El-Paso,-TX-79932","1074 Hoppas Ct, Unit D, El Paso, TX 79932",1074 Hoppas Ct,Unit D,El Paso,TX,48,79932,El Paso,141,31.887679,-106.628771,Townhouse,3,2.5,1378,,2023,,,,,,
"3829-Leavell-Ave-Unit-B,-El-Paso,-TX-79904","3829 Leavell Ave Unit B, El Paso, TX 79904",3829 Leavell Ave Unit B,,El Paso,TX,48,79904,El Paso,141,31.833279,-106.447082,Townhouse,3,2,1469,4500,2024,,,,,,
"8570-Comet-St,-Unit-A,-El-Paso,-TX-79904","8570 Comet St, Unit A, El Paso, TX 79904",8570 Comet St,Unit A,El Paso,TX,48,79904,El Paso,141,31.858532,-106.446625,Townhouse,3,2,1044,,2023,,,,,,
"1060-Hoppas-St,-Unit-B,-El-Paso,-TX-79932","1060 Hoppas St, Unit B, El Paso, TX 79932",1060 Hoppas St,Unit B,El Paso,TX,48,79932,El Paso,141,31.887683,-106.628453,Townhouse,3,2.5,5172,,2023,,,,,,
"8919-Eclipse-St,-Unit-A,-El-Paso,-TX-79904","8919 Eclipse St, Unit A, El Paso, TX 79904",8919 Eclipse St,Unit A,El Paso,TX,48,79904,El Paso,141,31.865446,-106.450653,Townhouse,3,2,1363,,2023,,,,,,
"8900-Herbert-St,-Unit-A,-El-Paso,-TX-79904","8900 Herbert St, Unit A, El Paso, TX 79904",8900 Herbert St,Unit A,El Paso,TX,48,79904,El Paso,141,31.864895,-106.433121,Townhouse,2,2,110,,2022,,,,,,
"8570-Comet-St,-Unit-B,-El-Paso,-TX-79904","8570 Comet St, Unit B, El Paso, TX 79904",8570 Comet St,Unit B,El Paso,TX,48,79904,El Paso,141,31.858532,-106.446625,Townhouse,3,2,1044,,2023,,,,,,
"8820-Norton-St,-Unit-A,-El-Paso,-TX-79904","8820 Norton St, Unit A, El Paso, TX 79904",8820 Norton St,Unit A,El Paso,TX,48,79904,El Paso,141,31.863518,-106.435417,Townhouse,2,1,930,,2023,,,,,,
